DSTOCK_NET_20260322T110600+0100_T0 2026-03-22T11:06:00+01:00S001SKU0001000120000010000030000050000110
DSTOCK_NET_20260322T110600+0100_T0 2026-03-22T11:06:00+01:00S001SKU0002000060000005000000000040000055
DSTOCK_NET_20260322T110600+0100_T0 2026-03-22T11:06:00+01:00S001SKU0003000015000002000020000025000013
DSTOCK_NET_20260322T110600+0100_T0 2026-03-22T11:06:00+01:00S001SKU0004000008000000000010000012000008
DSTOCK_NET_20260322T110600+0100_T0 2026-03-22T11:06:00+01:00S002SKU0001000045000003000015000050000042
DSTOCK_NET_20260322T110600+0100_T0 2026-03-22T11:06:00+01:00S002SKU0002000080000006000010000040000074
DSTOCK_NET_20260322T110600+0100_T0 2026-03-22T11:06:00+01:00S002SKU0003000000000000000025000025000000
DSTOCK_NET_20260322T110600+0100_T0 2026-03-22T11:06:00+01:00S002SKU0004000022000001000000000012000021
DSTOCK_NET_20260322T110600+0100_T0 2026-03-22T11:06:00+01:00S003SKU0001000200000025000000000070000175
DSTOCK_NET_20260322T110600+0100_T0 2026-03-22T11:06:00+01:00S003SKU0002000010000001000030000035000009
DSTOCK_NET_20260322T110600+0100_T0 2026-03-22T11:06:00+01:00S003SKU0003000055000010000000000025000045
DSTOCK_NET_20260322T110600+0100_T0 2026-03-22T11:06:00+01:00S003SKU0004000005000000000005000012000005
